阅读词汇   1976-2003.01				
考频	考查的单词	正确的选项	词性	中文含义
2	headway	progress	v.	前进；进展
2	headway	progress	v.	
	heart	center	n.	中心
	heavily	densely	ad.	浓密地；稠密地
	helically	spirally	ad.	螺旋形地；螺线形地
	helper	assistant	n.	帮手；助手
	helplessly	powerlessly	ad.	无能地；无效地
	hemisphere	side	n.	半球；半边
	hemisphere	half	n.	半球；地球的一半
2	hence	as a result	ad.	因此；所以
2	hence	as a result	ad.	
	henceforth	from that time on	ad.	自此以后
	herald	announce	v.	预示；预报
	herald	announce	v.	预示；预报
	herd	group	n.	群；兽群
	heredity	genetics	n.	遗传；遗传性
	heritage	tradition	n.	遗产；传统
	hesitantly	reluctantly	ad.	犹豫地；踌躇地
	heyday	golden age	n.	全盛时期；黄金时期
3	hide	conceal	v.	隐藏；遮掩
3	hide	skin	n.	兽皮；皮革
3	hide	skin	n.	兽皮；皮革
	highlight	emphasize	v.	着重；强调
3	highly	extremely	ad.	高度地；非常地
3	highly	extremely	ad.	
3	highly	very 	ad.	
2	hinder	retard	v.	妨碍；阻碍
2	hinder	impede	v.	
	hinged on	depended on	v.	依靠
	hinterland	region	n.	地方；区域
	hire	employment	v.	雇佣；租用
	hitch	tie	v.	栓住；套住
	hobble	limp	v.	蹒跚；跛行
2	hold	bound	v.	结合；连结
2	hold up under	withstand	v.	经受住；经久
	hollow	cavity	n.	洞；穴
	homesteader	settler	n.	拥有宅地的移民
3	house	place	v.	安置；收藏
3	house	contain	v.	
3	house	contain	v.	
	how	the way in which	ad.	如何；怎样
	hub	nucleus	n.	中心；中枢
	hue	color	n.	色彩；色泽
3	huge	tremendous	a.	巨大的；大量的
3	huge	enormous	a.	
3	huge	tremendous	a.	
	humid	damp	a.	湿的；潮湿的
	humiliate	embarrass	v.	羞辱；使丢脸
	hurdle	obstacle	n.	困难；障碍
	hurt	injure	v.	损害；危及
	husk	shell	n.	外壳；果壳
	hypothesis	assumption	n.	假设；假说
	I			
	ideal	perfect	a.	完美的
	identical	exactly alike	a.	同样的
	idiom	style	n.	风格；特色
	idolize	worship	v.	盲目崇拜；偶像化
2	ignite	catch fire	v.	着火；燃烧
2	ignite	catch fire	v.	
	ill	adverse	a.	负的；不良的
	illicit	unlawful	a.	非法的；不正当的
	illustrate	represent	v.	说明；阐明
	illustration	picture	n.	插图；图解
	illustrious	distinguished	a.	杰出的；著名的
	image	picture	n.	影象；形象
	imaginary	unreal	a.	想象中的；不真实的
	imitate	copy	v.	模仿；伪造
2	imitate	copy	v.	模仿；仿造
2	imitate	mimic	v.	
	immense	enormous	a.	巨大的；庞大的
	immensely	enormously	ad.	非常；大大地
	imminent	about to take place	a.	逼近的；即将来临的
	immunity	protection	n.	保护
	immutable	unchangeable	a.	不变的
	impact	effect	n.	影响；作用
2	impartial	unbiased	a.	公平的；公正的
2	impartial	unbiased	a.	
	impede	interrupt	v.	妨碍；阻止
	impediment	obstacle	n.	妨碍；阻碍
	impel	motivate	v.	驱使；激励
	impending	approaching	a.	逼近的；即将发生的
	imperative	necessary	a.	急切的；必要的
	imperceptibly	subtly	ad.	不可觉察地；极缓慢地
	imperceptibly	unnoticeably	a.	不可察觉的；极缓慢的
	implement	tool	n.	工具；器械
	implement	tool	n.	工具；器械
	implication	significance	n.	含义；意义
	imply	suggest	v.	暗示；意指
	important	significant	a.	重要的；重大的
	imposing	demanding	a.	紧迫的；紧急的
	imposing	impressive	a.	壮观的；雄伟的
	improve	better	v.	增进；改良
	improvise	thought up on the spot	v.	临时准备；即席创作
	imprudent	unwise	a.	不精明的；轻率的
	in a rage	outrage	n.	盛怒；狂怒
	in abundance	in great quantities	n.	丰富;充裕
	in place of	instead of	ad.	代替　
	in reality	actually	n.	实际上；事实上
	In retrospect	looking back	n.	回顾；回想
	in the neighborhood of	approximately	n.	大约；接近
	inaccessible	unreachable	a.	难接近的；难达到的
	inaccessible	not available	a.	难接近的；难得到的
	inadvertently	accidentally	ad.	粗心地；非故意地
	inappropriately	unsuitably	ad.	不恰当地；不合宜地
	inaugurate	begin	v.	开始；开创
	inborn	innate	a.	天生的；遗传的
	incalculable	immeasurable	a.	无数的；极大的
	incalculably	immeasurably	ad.	不可估量地；极大地
	incapacitate	disable  	v.	使残废；使无能
	inception	beginning	n.	起初
	incessant	unending	a.	连续的；不断的
	incessantly	constantly	ad.	连续地；频繁地
	incidence	occurrence	n.	发生率
	incidentally	by chance	ad.	偶然地；附带地
	incinerate	burn up	v.	烧毁
	incise	cut	v.	切开；切入
	incised	carved	a.	雕刻的
	inclination	preference 	n.	倾向；偏好
	include	contain	v.	包括；包含
	income	revenue	n.	收入；所得
	incorporate	combine	v.	结合；合并
	incorporate	contain	v.	结合；包括
	increase	grow	v.	增加；增多
	incredible	unbelievable	a.	难以置信的；不可思议的
2	incredulity	disbelief	n.	怀疑；不相信
2	incredulity	disbelief	n.	
	indefinitely	endlessly	ad.	无限地
	indelible	permanent	a.	持久的；擦不掉的
	index	sign 	n.	指标；标志
2	indigenous	native	a.	当地的；本土的
2	indigenous	native	a.	
	indiscriminate	haphazard	a.	不加选择的；不加鉴别的
	indispensable	essential	a.	必不可少的；绝对必要的
	individually	separately	ad.	个别地；各自地
	induce	bring about	v.	引起；导致
	industry	business	n.	产业；工业
	inept	incompetent	a.	无能的；不称职的
2	inevitable	unavoidable	a.	不可避免的；必然发生的
2	inevitable	certain	a.	
	inevitably	unavoidably	ad.	不可避免地；必然发生地
	inexpensive	cheap	a.	廉价的；不贵的
	infectious	contagious	a.	传染性的；易传播的
	infiltrate	spread to	v.	渗入；透过
	infinitesimal	minute	a.	极微小的；无限小的
	influence	affect	v.	影响；感化
	influential	important	a.	有影响的；有势力的
	influx	arrival	n.	流入；到达
	informally	unofficially	ad.	非正式地；非正规的
	informed	educated	a.	有见识的；见闻广的
	infuriate	enrage	v.	激怒；使发怒
	infusion	introduction	n.	灌输；注入
	ingenious	clever	a.	有天才的；机敏的
	ingenuity	resourcefulness	n.	机灵
	ingredient	component	n.	成分；要素
2	inhabit	live in	v.	居住于；栖息于
2	inhabit	occupy	v.	
2	inhabitant	resident	n.	居民；住户
2	inhabitant	resident	n.	
	inhale	breathe in	v.	吸入；吸气
3	inherently	basically	ad.	内在地；根本地
3	inherently	intrinsically	ad.	
3	inherently	fundamentally	ad.	
	inherit	receive	v.	接受；继承
	inhibit	hinder	v.	阻止；阻碍
	inhibit	restrain	v.	阻止；禁止
3	initial	first	a.	古老的；初始的
3	initial	early	a.	
3	initial	oldest	a.	
2	initially	in the beginning	ad.	最初；开始
2	initially	originally	ad.	
2	initiate	start	v.	开始；引发
2	initiate	cause	v.	开始；引发
	initiate	originate	v.	创造；发起
	innermost	most personal	a.	最里面的；最秘密的
	innovation	new idea	n.	创新；革新
	innovation	a new idea	n.	创新；  革新
	innovative	inventive	a.	创新的；革新的
	innovative	new	a.	创新的
	innumerable	countless	a.	无数的；数不清的
	inordinate	excessive	a.	过度的；过分的
2	inquiry	investigation	n.	调查；问题
2	inquiry	question	n.	
	inquisitive	curious	a.	好奇的；盘根问底的
	insert	put	v.	插入；嵌入
	inside	interior	n.	内部；里面
3	insight  	understanding  	n.	
3	insight  	understanding	n.	
3	insight into	understanding of	n.	洞察力；见识
	insignificant	trivial	a.	无意义的；不重要的
	insignificant	unimportant	a.	不重要的
	inspire	fire the imagination of	v.	激励；赋予灵感
	installment	monthly payment	n.	分期付款
	instance	case	n.	实例；例证
	instantly	at once	ad.	立即；立刻
	instead	rather	ad.	代替；更换
2	institute	start	v.	创立；开始
2	institute	establish	v.	
	instruction	teach	n.	教训；教诲
2	insufficient	inadequate	a.	不足的；不够的
2	insufficient	inadequate	a.	
	integral	essential	a.	整体的；不可缺少的
	integral	fundamental	a.	基本的
	integrate	unify	v.	使结合；成一体
	intense	extreme	a.	强烈的；剧烈的
2	intense	vivid	a.	强烈的；剧烈的
2	intense	extreme 	a.	
3	intensely	extremely	ad.	非常地；剧烈的
3	intensely	extremely	ad.	
3	intensely	extremely	ad.	
	intensive	concentrated	a.	加强的，集中的
	intent	goal	n.	目的
	intent	purpose	n.	目的
	intentionally	deliberately	ad.	有意地；故意地
	interchangeable	equivalent	a.	相等的；可互换的
	interfere	disrupt	v.	妨碍；抵触
	intermittently	periodically	ad.	间歇地；断断续续地
	intervals	periods	n.	周期 
	intervene	intercede in	v.	干涉；调停
	intervention	influence	n.	干涉；影响
	intimate	close	a.	亲密的；密切的
	intimately	very closely	ad.	亲密；亲切
	intricate	complicated	a.	复杂的；使人迷惑的
	intricate	complex	a.	复杂的
	intrigue	fascinate	v.	迷惑
	intriguing	attractive	a.	迷人的　
	inundate	flood	v.	淹没；泛滥
	invade	move into	v.	侵入
	invariably	always	ad.	恒久地；不变地
2	invent	create	v.	创造；发明
2	invent	originate	v.	
	inviting	attractive	a.	吸引人的；诱人的
	irregularly	unevenly	ad.	不规则地；不整齐地
	irrevocable	irreversible	a.	最后的；不能改变的
	irritable	easily annoyed	a.	烦躁的；易激怒的
	irritating	annoying	a.	烦恼的；激怒的
2	isolate	solitary	a.	孤立的；隔离的
2	isolate	remote	a.	
2	issue	flow	v.	流出；发行
2	issue	subject	n.	问题；争论
	itinerant	traveling	a.	巡回的；巡游的
	jeopardize	endanger	v.	危及；危害
	jettison	discard	v.	抛弃；放弃
	join	connect	v.	连接；结合
	joint	shared	a.	共同的；分享的
	joy	happiness	n.	欢乐；欣喜
	jubilant	exultant	a.	欢欣的；喜悦的
	judge	evaluate	v.	评价；鉴定
	judiciously	wisely	ad.	明智地；审慎地
	juice	liquid	n.	果汁；菜汁
	jurisdiction	authority	n.	管辖权；司法权
	justify	prove	v.	辩护；证实
	justly	rightfully	ad.	公正地；正当地
2	juvenile	children's	a.	青少年的
2	juvenile	young people	n.	青少年　
	keen	acute	a.	敏锐的；敏捷的
2	keep	maintain	v.	保持；保存
2	keep	store	v.	
	keep in touch	communicate	n.	联系；接触
	ken	understanding	n.	知识范围；认识范围
2	key	dominant	a.	主要的；关键的
2	key	primary	a.	
	key	important		
	kidnap	abduction	v.	绑架；诱拐
	knack for	aptitude for	n.	技巧；窍门
	label	identify	v.	贴标签；标明
	laborious	difficult	a.	费力的
	lace	criss-cross	v.	交织；交错
	lack	do not have	v.	缺乏；缺少
	landscape	scenery	n.	风景；景色
	lane	route	n.	航道；路线
	languid	listless	a.	倦怠的；无生气的
5	largely	for the most part	ad.	大量地；主要地
5	largely	mainly	ad.	
5	largely	mainly	ad.	
5	largely	mainly	ad.	
5	largely	mostly	ad.	
3	last	continue	v.	持续；持久
3	last	remain effective	v.	
3	last	endure	v.	
	lasting	enduring	a.	持久的；持续的
	laud	praise	v.	称赞；赞美
2	launch	send-off	v.	发射；投掷
2	launch	begin	v.	发起；开始
	lavishly	magnificently	ad.	奢华地
	lead the way	pioneer	v.	带路；引路
	leadership	guidance	n.	领导者；领导权
4	leading	chief	a.	主要的；主角的
4	leading	starring	a.	
4	leading	principal	a.	
4	leading	principal	a.	
2	leap	jump	v.	跳跃；跃过
2	leap	jump	v.	
	lease	rent	v.	出租；租用
	leave out of 	exclude from	v.	排除；不考虑
	lecture	give speeches	v.	讲演；讲课
	lecturer	speaker	n.	讲演者；讲师
	legally	by law	ad.	合法地；法律上
	legitimate	legal	a.	合法的；合理的
	leisure	free	a.	空闲的；闲暇的
	leisurely	regular	a.	从容的；有规律的
	length	distance	n.	长度；距离
	lenient	permissive	a.	宽大的；宽容的
	lessen	decrease	v.	减少；减轻
	lethargic	sluggish	a.	倦怠的；懒散的
	liberally	freely	ad.	随意地；宽容地
	liberate	freed	v.	释放；放出
	lie	be located	v.	位于
	likelihood	predictability	n.	可能性
	likely	promising	a.	有希望的；恰当的
	likeness	resemblance	n.	相象；类似
	limit	restrict	v.	限定；限制
	line	boundary	n.	边界；界线
3	link 	connect	v.	
3	link to	connect to 	v.	联系；连接
3	link to	relate to	v.	
	liquid	fluid	n.	液体；流体
	literacy	reading and writing	n.	文化水平；读写能力
	lively	busy	a.	热闹的；繁忙的
2	load	burden	n.	重担；负荷
	load	weight	n.	重担
2	load tolerance	to see how much weight it can carry	n.	重量
	locale	place	n.	场所
	locality	place	n.	地方；所在地
	locally	in that	ad.	当地；本地
3	locate	find	v.	定位；探出
3	locate	find	v.	
3	locate	find	v.	
	locomotion	movement	n.	运动；移动
	lodge	deposit in 	v.	留存；存款
	lodging	accommodation	n.	寄宿处；住所
2	lofty	towering	a.	极高的；高耸的
2	lofty	towering	a.	
	loiter	loaf	v.	闲逛；游荡
2	look after	care for	v.	照料；照顾
2	look over	inspect	v.	检查；察看
	loophole	ways of evading rules	n.	漏洞；空子
	loot	robbery	v.	掠夺；洗劫
	lower	reduce	v.	减低；减弱
	lucidly	clearly	ad.	清楚地；明白地
	lucratively	profitably	ad.	有利地；赚钱地
	ludicrously	ridiculously	ad.	荒唐地；滑稽地
2	lukewarm	indifferent	a.	不热情的；微温的
2	lukewarm	tepid	a.	
	lumber	board	n.	木料；木材
2	luminous	bright	a.	发光的；闪亮的
2	luminous	glowing	a.	
3	lure	attract	v.	吸引；引诱
3	lure	draw	v.	
3	lure	attract	v.	
	lured	attracted	v.	吸引，引诱
2	luster	distinction	n.	光泽；光彩
2	luster	radiance	n.	
	lustrous	shiny	a.	有光泽的；光亮的
	magnify	intensify	v.	放大；强化
	magnify	enlarge	v.	放大；扩大
	maim	cripple	v.	使残废；使负伤
	mainly	mostly	ad.	主要地；基本上
3	maintain	preserve	v.	维持；坚持
3	maintain	preserve	v.	维持；坚持
3	maintain	keep	v.	维持；坚持
2	maintain	keep up	v.	维持；坚持
2	maintain	sustain	v.	
	majesty	nobility	n.	威严；尊严
	major	principal	a.	主要的；大型的
	major	sizable	a.	主要的；大型的
5	make	earn	v.	挣得；获得
5	make do with	replace	v.	凑合着用；设法应付
	make possible	allow	v.	允许；使可能
5	make up	constitute	v.	构成；组成
5	make up for	compensate for	v.	补偿；弥补
5	make up of	consist of	v.	构成；组成
	makeshift	"crude, temporary"	a.	临时的；权宜的
	makeup	composition	n.	构造；组成
	malleable	pliable	a.	可锻造的；具韧性的
	mallet	hammer	n.	木槌；球棍
	mammoth	gigantic	a.	庞大的；巨大的
	mandated	required	v.	要求
	maneuver	move 	n.	动作；花招
	mankind	human	n.	人类
	manually	by hand	ad.	人工地；手工地
	many	up to	ＰＲＯn.	多达；与．．．一样多
	mar	spoil	v.	损坏；毁坏
	march	parade	v.	游行；行进
	margin	edge	n.	边；边缘
	marine	sea-dwelling	a.	海生的；海洋的
	marked	pronounce	a.	明显的；显著的
	marked	noticeable	a.	显著的
3	markedly	substantially	ad.	明显地；显著地
3	markedly	noticeably	ad.	
3	markedly	significantly	ad.	
	market	sold	v.	出售；销售
	marvel	wonder	n.	奇迹；杰作
2	massive	enormous	a.	巨大的；大量的
2	massive	enormous	a.	
	masterpiece	great work	n.	杰作；名作
	matching	identical	a.	相同的；匹配的
	matchless	incomparable	a.	无敌的；无比的
	mate	breeding	v.	交配；繁殖
	material	substance	n.	物质；原料
2	meager	scanty	a.	贫乏的；不足的
2	meager	scanty	a.	
	means	method	n.	方法　
2	means	with money	n.	方式；手段；金钱；财富
2	means	way 	n.	
	mechanism	device	a.	装置；机构
	mediator	conciliator	n.	调停者；周旋者
	meek	humble	a.	温顺的；谦和的
	meet	adhere to	v.	满足；符合
	melancholy	sad	a.	忧郁的；消沉的
	melody	tune	n.	旋律；主调
	memo	note	n.	备忘录；变签
	menace	threaten	v.	威胁；危及
	mend	repair	v.	修复；改善
	merchandise	objects for sale	n.	商品；货品
	merely	simply	ad.	仅仅；不过
	merely	only	ad.	仅仅地，只不过
3	merge	combine	v.	合并；兼并
3	merge	combine	v.	
3	merge	combine	v.	
	merit	virtue	n.	优点；长处
	meteoric	rapid	a.	迅速的
	method of	procedure for	n.	手法；手段
	methodically	systematically	ad.	有规律地；有条理地
	meticulously	careflly	ad.	小心地
	metropolitan	city	a.	大城市的；大都会的
2	midst	undergoing	n.	处于；在．．．之中
2	midst	during	n.	
	migrate	move from one place to another	v.	迁移；移居
	mildly	moderately	ad.	温和地；缓和地
	millennia	thousands of years	n.	千年期；一千年
	mimic	imitate	v.	模仿；摹似
	minimal	the fewest	a.	最低程度的；最少量的
	minimum	at least	n.	最低限度；最少量
	minuscule	tiny	a.	很小的；微小的
2	minuscule	tiny	a.	很小的；微小的
2	minuscule	tiny	a.	
	minute	tiny	a.	微小的；细微的
6	minute	tiny	a.	微小的；细致的
6	minute	minuscule	a.	
6	minute	minuscule	a.	
6	minute	tiny	a.	
6	minute	tiny	a.	
6	minute	tiny	a.	
	miraculously	astonishingly	ad.	非凡地；奇迹般地
	mirror	reflect	v.	反映；映出
	miserly	stingy	a.	吝啬的；小气的
	misrepresent	described incorrectly	v.	歪曲；误解
	mistakenly	erroneously	ad.	错误地；误解地
2	mix up	confuse	v.	搞混；混淆
2	mix up	blend	v.	混合；调配
2	mock	ridicule	v.	嘲弄；嘲笑
2	mock	ridicule	v.	
	mode	means	n.	方式；手段
2	modification	change	n.	修改；变更
2	modification	change	n.	
	modifying	changing	v.	修改；变化
	modulate	govern	v.	调整;调控
	moist	damp	a.	潮湿的；湿润的
	mold	shape	v.	捏成；塑造
	molten	melted	a.	熔化的
	monitor	check	v.	检查；监视
	monopolize	dominate	v.	独占；占优势
	monotonous	unvarying	a.	单调的；不变的
	monumental	outstanding	a.	不朽的；非凡的
	morale	confidence	n.	士气；信心
	more and more	increasingly	ad.	越来越；逐渐地
	moreover	furthermore	ad.	此外
	moreover	in addition	ad.	另外
	moreover	in addition	ad.	而且；再者
	morsel	tidbit	n.	小块；小片
	motif	design	n.	图案；花纹
	motif	theme	n.	主题
	motion	movement	n.	运动；移动
	motivation	incentive	n.	动机；目的
	motive	intention	n.	动机；主旨
	motorist	automobile driver	n.	汽车驾驶员
	mount	increase	v.	增长；上升
	mournful	sorrowful	a.	悲哀的；凄惨的
	mouth	entrance to	n.	口；入口
	mundane	ordinary	a.	世俗的；普通的
	murmur	mumble	v.	咕哝；私下抱怨
	mushroom	grow quickly	v.	迅速发展
	must	have to	a.UX	必然；必定
	mutually	jointly	ad.	共同地；彼此地
	myriad	many	a.	许多的；无数的
	myth	legend	n.	神话；传奇
2	mythical	fictitious	a.	虚构的；想象的
2	mythical	legendary	a.	
	naked	unaided	a.	肉眼的；赤裸的
2	nap	doze	n.	小睡；打盹
2	nap	doze	n.	
	narrator	speaker	n.	讲述者；叙述者
	narrow	thin	a.	狭窄的；狭小的
	narrow-minded	intolerant	a.	偏狭的；狭隘的
	nascent	immature	a.	新生的；初生的
	nearly	practically	ad.	几乎；大约
	need	require	v.	必要；必须
2	negligible	insignificant	a.	可忽视的；微不足道的
2	negligible	minimal	a.	
	neighboring	adjacent	a.	邻近的；附近的
	nevertheless	however	ad.	然而；仍然
	new	recent	a.	新近的；新的
	nibble	gnaw	v.	细咬；细啃
	nimbleness	agility	n.	敏捷；机智
	noise	sound	n.	喧闹声；嘈杂声
	noisy	vociferous	a.	喧闹的；嘈杂的
	norm	standard	n.	标准
	normal	standard	a.	标准的；正常的
2	normally	usually	ad.	常规地；正常地
2	normally	ordinarily	ad.	
	notable	significant 	a.	著名的；显著的
	noted	known	a.	著名的；闻名的
	noted	observed	v.	注意到
	noteworthy	significant	a.	显著的；值得注意的
	notice	idea	n.	评介；短评
	noticeably	visibly	ad.	显著地；明显地
	noticed	announced	v.	宣告，通告
	notify	inform	v.	通知；报告
	notion	concept	n.	概念；观念
	notwithstanding	despite	prep.	尽管
	nourish	feed	v.	滋养；养育
	novel	original	a.	奇异的；新奇的
	now	at present	ad.	目前；现在
	noxious	harmful	a.	有害的；有毒的
	numerous	many	a.	许多的；甚多的
	nutritious	nourishing	a.	营养的；滋养的
	obediently	dutifully	ad.	服从地；顺从地
	obese	excessively overweight	a.	肥胖的；肥大的
	object	aim	n.	目的；目标
	obligated	required	a.	有义务去做的
	obliged	forced	a.	被迫　的
	obliquely	indirectly	ad.	间接地；迂回地
	oblivious	unaware of	a.	不在意的；不注意的
3	obscure	hide 	v.	掩蔽；隐藏
3	obscure	blur	v.	
3	obscure	unclear	a.	不清楚的；不著名的
	observe	watch	v.	观察；看到
	obsolete	out-of-date	a.	过时的；作废的
	obstacle to	impediment to 	n.	障碍；妨碍
2	obstinate	stubborn	a.	固执的；顽强的
2	obstinate	stubborn	a.	
	obstruct	stop	v.	阻塞；堵塞
	obtain	get  	v.	获得；取得
	obtain	acquire	v.	获得；取得
	obtain	get	v.	获得；取得
	obtain	acquire	v.	获得
	obvious	apparent	a.	明显的；显而易见的
	obvious	evident	a.	明显的；显而易见的
	obviously	clearly	ad.	明显地；显然地
	occult	supernatural	n.	鬼神；神秘之事
	occupation	job	n.	职业；工作
2	occur	exist	v.	存在；出现；发生
2	occur	happen	v.	
	odds	in disagreement	n.	争执；不一致
4	odor	smell	n.	气味；味道
4	odor	scent	n.	
4	odor	smell	n.	
4	odor	smell	n.	
	of course	naturally		当然；自然
	off and on 	now and then	ad.	不时地；断断续续地
2	officially	formally	ad.	正式地；官方地
2	officially	formally	ad.	
	offspring	children	n.	后代；幼子
	often	frequently	ad.	常常；经常
3	on the outskirts	at the edges	n.	在．．．边缘；在．．．郊区
3	on the outskirts	on the edges	n.	
2	on the wane	dwindling	v.	减小；变弱
3	on the whole	generally	n.	整体上；大体上
3	once	ever	ad.	曾；曾经
3	once	formerly	ad.	
2	once in a while	occasionally	n.	间或；偶尔
	oncoming	approaching	a.	即将到来的
	onset	beginning	n.	开始
	open	unrestricted	ad.	开放的；不受禁止的
	opportunity	chance	n.	机会；时机
	opposed to	averse to	ad.	反对的；反抗的
	optimal	most advantageous	ad.	最宜人的；最理想的
	optimal	best	a.	最佳的
	opulence	luxury	n.	富裕；富饶
	oral	spoken	a.	口头的；口述的
	orally	by mouth	ad.	口头地；口述地
	orbit	circle	v.	环行；环绕
	order	systematic 	v.	整理；安排；有条理
	organize	arrange	v.	组织；安排
	organizer	planner	n.	组织；创办者
	ornamental	decorative	a.	装饰的；装饰用的
	ornate	dainty	a.	华丽的；绚丽的
	ornate	elaborate	a.	华丽的
	ostracize	shun	v.	排斥；避开
	otherwise	in other circumstance	ad.	否则；不然
	ought	should	a.UX	应当；应该
	outbreak	beginning	n.	爆发；开始
2	outburst	explosion	n.	爆发；波动
2	outburst	surge	n.	
2	outlet	socker	n.	发泄；途径　电源插座
2	outlet for	release from	n.	
	outline	summarizing	v.	总结；概括
	outlive	survive	v.	活过某人；比．．．经久
	outlying	remote	a.	远外的；边远的
	outmoded	obsolete	a.	过时的；不流行的
	output	production	n.	产量；产品
	outrage	anger	v.	愤恨；激怒
	outrun	surpass	v.	超过；胜过
3	outskirts	surrounding regions	n.	郊区；郊外
	outspoken	blunt	a.	坦率的；直言的
	outspread	extended	a.	伸展的；展开的
	outstanding	excellent	a.	杰出的；显著的
6	outstanding	preeminent	a.	杰出的；显著的
6	outstanding	distinguished	a.	
6	outstanding	remarkable	a.	
6	outstanding	remarkable	a.	
6	outstanding	prominent	a.	
6	outstanding	remarkable	a.	
	outstretched	spread	a.	伸展的；展开的
	over great distances	faraway	a.	遥远之处
2	overall	general	a.	总的；全部的
2	overall	special	a.	
2	overcome	surmount	v.	克服；战胜
2	overcome	defeat	v.	
	overly	too	ad.	过度地；极度地
	overpayment	excess money paid	n.	多付；过高付给
	overseas	abroad	ad.	国外；海外
	oversight	inattention	n.	疏忽；失察
	overstate	exaggerate	v.	夸张；夸大
	overstatement	exaggeration	n.	夸大；夸张
	overtaken	surpassed	v.	赶上，超越
	overtly	openly	ad.	公开地；明显地
	overturn	reverse	v.	推翻；颠覆
	owing	due to		由于；因为
	pale	light-colored	a.	苍白的；浅色的
	panacea	a cure-all	n.	万应药；百灵药
	paradoxical	contradictory	a.	自相矛盾的；反论的
	parallel	similarity	n.	类似点；类似处
	parity	equality	n.	同等；平等
	part	section	n.	部分；局部
	particular	certain	a.	特别的；个别的
2	particularly	especially	ad.	特别地；尤其是
2	particularly	especially	ad.	
	pass	spend	v.	度过；通过
	passion	a deep love for	n.	激情；偏好
	patch	expanse	n.	片；块
	path	orbit	n.	路线；轨道
	pathway	course	n.	途径；方式
	patron	customer	n.	主顾；顾客
	pay tribute to 	honor	v.	尊敬；颂扬
	peak	maximum	a.	最高的；高峰的
2	peak	mountaintop	n.	山峰；山颠
2	peak	top	a.	最高的；高峰的
	peculiar	strange	a.	奇特的
	pedestal	base	n.	底座；台座
	penetrate	go through	v.	穿透；透过
	penetrate	pierce	v.	穿透；透过
	penetrating	pungent	a.	刺鼻的；弥漫的
	people in the play	actor	n.	演员；剧中人物
	per capita	per person	ad.	每人；平均
	percentage	proportion	n.	比例；比率
	perceptible	visible	a.	可察觉的；可见的
	perceptive	insightful	a.	敏锐的；有洞察力的
	perennially	year-round	ad.	终年；长年
	perforate	pierce	v.	穿孔；打眼
	perforation	hole	n.	孔状接缝；齿孔
	perform	serve	v.	执行；履行
	performer	entertainer	n.	表演者；演奏者
	perfume	scent	n.	香水；香料
	perhaps	possibly	ad.	也许；可能
	perilous	dangerous	a.	危险的；冒险的
	perimeter	edge	n.	周边；周围
	period	age	n.	时期；时代
	periphery	outer edge	n.	外围
	permeate	pass through	v.	穿过；渗透
	permission	consent	n.	允许；同意
	permissive	tolerant	a.	容许的；随意的
	permit	allow	v.	允许；许可
	perpendicularly	at right angles	ad.	垂直；成直角
	perpetually	constantly	ad.	不断地；持久地
2	perseverance	persistence	n.	坚忍；毅力
2	perseverance	endurance	n.	
	persist	continue	v.	持续
	persist	continue	v.	坚持；固执
	persistently	continuously	ad.	持久地；固执地
	personal magnetism	charisma	n.	个人魅力
	pert and saucy	oblivious	a.	卤莽的；冒失的
2	pertain to	associate with	v.	相关；关于
2	pertain to	relate to	v.	
	pertinent	relevant	a.	有关的
	pertinent	relevant	a.	恰当的；贴切的
	peruse	studying	v.	精读；细阅
3	phase	stage	n.	阶段；时期
3	phase	stage	n.	
3	phase	period	n.	
	phenomena	event	n.	现象；事件
	phenomenally	extraordinarily	ad.	非凡地；难以置信地
	philanthropic	humanitarian	a.	慈善的；博爱的
2	physician	doctor	n.	医生；内科医生
2	physician	doctor	n.	
	pick up	follow	v.	寻找；寻路
	pick up	gather	v.	聚集；收集
	picture	imagine	n.	图片
2	piecemeal	in stages	a.	零碎的；零碎地
2	piecemeal	irregular	a.	
	pinpoint	spot	v.	精确定位；准确定位
	pioneer in	originator of	n.	先驱者；开拓者
	pioneering	original	a.	先驱的；开拓的
	pit	hole	n.	坑；洼地
	pit	set	v.	使对抗；使相斗
	placid	calm	a.	 平静的；宁静的
2	plague	bother	v.	烦扰；折磨
2	plague with	afflict by	v.	
	plainly	clearly	ad.	清楚地；明显地
	plane	aircraft	n.	飞机
	play	perform on	v.	演奏
	pleasant	agreeable	a.	愉快的；惬意的
	pleasing	attractive	a.	使人愉快的；令人喜爱的
	plentiful	abundant	a.	丰富的；有余的
2	plot	chart	v.	标绘；绘图
2	plot	map out	v.	
	plume	feather	n.	羽毛；羽状物
	plunder	loot	v.	掠夺；抢劫
	plunge	drop	n./v.	投入，陷入
	pocketbook	purse	n.	手提包；钱包
	polish	shine	v.	磨光；擦亮
	poll	survey	n.	民意测验；民意调查
	ponder	thinks deeply	v.	沉思；默想
	ponderous	heavy	a.	笨重的
	pool	container	n.	贮存处；容器
	poor	inferior	a.	不良的；粗劣的
	poorly	inadequately	ad.	不足地；缺乏地
	popular	well-liked	a.	流行的；受欢迎的
	population	number of residents	n.	人口；人口总数
	porcelain	china	n.	瓷；瓷器
	pore	hole	n.	毛孔；细孔
	portion	part	n.	部分；一份
	portrait	picture	n.	人像；肖像
	position	job	n.	职位；职务
2	possess	have	v.	拥有；具有
